Название,Автор,Жанр,Описание,Дата издания,Мировой рейтинг
Хроники трех сестер,Эрнест Хемингуэй,Драма,"Книга, получившая множество литературных премий и признание критиков во всем мире.",2000,3.0
Война одинокого сердца,Харуки Мураками,Триллер,"Захватывающее произведение Харуки Мураками в жанре триллер, рассказывающее о приключениях главных героев.",1904,1.8
Земля солнцестояния,Джордж Мартин,Фэнтези,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях фэнтези.",1802,3.6
Дом янтарного солнца,Салман Рушди,Фэнтези,"Книга, которая изменила представление о жанре фэнтези и принесла Салман Рушди мировую известность.",1806,4.0
Прозрение,Томас Манн,Научная литература,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1803,4.6
Надежда трех сестер,Михаил Шолохов,Научная фантастика,"Книга, которая изменила представление о жанре научная фантастика и принесла Михаил Шолохов мировую известность.",1961,4.9
Звезда тысячи планет,Эрнест Хемингуэй,Ужасы,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1957,3.0
История полнолуния,Джейн Остин,Детектив,"Захватывающее произведение Джейн Остин в жанре детектив, рассказывающее о приключениях главных героев.",2018,4.9
Земля далеких миров,Евгений Водолазкин,Научная литература,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1910,4.9
Закат железного века,Колсон Уайтхед,Боевик,"Произведение, в котором Колсон Уайтхед раскрывает сложные социальные проблемы через увлекательное повествование.",1854,1.9
Время,Владимир Набоков,Биография,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Владимир Набоков.,2015,4.0
Время ста лет,Марина Цветаева,Поэзия,"Одно из лучших произведений Марина Цветаева, ставшее классикой жанра поэзия.",1920,4.2
Мастер,Иван Тургенев,Классика,"Произведение, в котором Иван Тургенев раскрывает сложные социальные проблемы через увлекательное повествование.",1850,3.1
Солнце прошлых жизней,Иван Тургенев,Мистика,Книга 'Солнце прошлых жизней' - это глубокое исследование человеческой природы через призму мистика.,1906,4.4
Дар восьми благословений,Умберто Эко,Классика,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",2012,3.5
Проклятие древних цивилизаций,Гузель Яхина,Триллер,"Одно из лучших произведений Гузель Яхина, ставшее классикой жанра триллер.",1880,3.0
Тошнота,Джек Лондон,Поэзия,"История о любви, предательстве и искуплении, мастерски рассказанная Джек Лондон.",1878,5.0
Солнце янтарного солнца,Михаил Шолохов,Фантастика,"Одно из лучших произведений Михаил Шолохов, ставшее классикой жанра фантастика.",1969,2.0
Исповедь вечной любви,Стивен Кинг,Приключения,"Книга, которая изменила представление о жанре приключения и принесла Стивен Кинг мировую известность.",1831,3.8
Крик,Федор Достоевский,История,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях история.",1979,4.6
Хроники ста лет,Габриэль Гарсиа Маркес,Научная фантастика,"История о любви, предательстве и искуплении, мастерски рассказанная Габриэль Гарсиа Маркес.",1817,2.2
Дневник мгновения,Умберто Эко,Классика,"Захватывающее произведение Умберто Эко в жанре классика, рассказывающее о приключениях главных героев.",1998,3.3
Загадка вечной любви,Томас Манн,Поэзия,Книга 'Загадка вечной любви' - это глубокое исследование человеческой природы через призму поэзия.,1917,3.1
Метаморфозы,Иосиф Бродский,Роман,"Книга, которая изменила представление о жанре роман и принесла Иосиф Бродский мировую известность.",1822,4.1
Война,Харуки Мураками,История,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1803,4.4
Маятник,Дэн Браун,История,Книга 'Маятник' - это глубокое исследование человеческой природы через призму история.,1862,3.9
Гора девяти кругов,Кадзуо Исигуро,Фантастика,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1913,3.4
Битва изумрудного города,Венедикт Ерофеев,Поэзия,"Захватывающее произведение Венедикт Ерофеев в жанре поэзия, рассказывающее о приключениях главных героев.",1895,2.1
Радость двух столиц,Венедикт Ерофеев,Биография,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1829,3.9
Королевство разбитых надежд,Альбер Камю,Приключения,Книга 'Королевство разбитых надежд' - это глубокое исследование человеческой природы через призму приключения.,1988,3.4
Смерть прошлых жизней,Донна Тартт,Триллер,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1920,4.8
Мир,Татьяна Толстая,Драма,"Одно из лучших произведений Татьяна Толстая, ставшее классикой жанра драма.",1917,3.8
Шум,Юваль Ной Харари,Приключения,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1944,3.8
Мечта семи королевств,Анна Ахматова,Детектив,"Одно из лучших произведений Анна Ахматова, ставшее классикой жанра детектив.",1822,3.3
Время,Нил Гейман,Комедия,"Захватывающее произведение Нил Гейман в жанре комедия, рассказывающее о приключениях главных героев.",1956,3.3
Ненависть бронзового века,Дэн Браун,Роман,"Одно из лучших произведений Дэн Браун, ставшее классикой жанра роман.",1864,3.5
Зима янтарного солнца,Юваль Ной Харари,Поэзия,"Одно из лучших произведений Юваль Ной Харари, ставшее классикой жанра поэзия.",1810,4.6
Меланхолия,Джоан Роулинг,Триллер,"Одно из лучших произведений Джоан Роулинг, ставшее классикой жанра триллер.",1817,3.7
Разум,Татьяна Толстая,Биография,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях биография.",1986,1.3
Земля солнцестояния,Маргарет Этвуд,Боевик,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях боевик.",1858,3.4
Река прошлых жизней,Джоан Роулинг,Сказка,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1811,2.2
Имя,Джордж Оруэлл,Детектив,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях детектив.",1876,3.2
Весна алмазной горы,Евгений Водолазкин,Научная литература,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1836,3.1
Сон равноденствия,Мо Янь,Психология,"История о любви, предательстве и искуплении, мастерски рассказанная Мо Янь.",1911,4.5
Сказание полнолуния,Людмила Улицкая,Боевик,"Захватывающее произведение Людмила Улицкая в жанре боевик, рассказывающее о приключениях главных героев.",1876,4.1
Ностальгия,Уильям Фолкнер,Психология,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Уильям Фолкнер.,2021,3.3
Замок разбитых надежд,Василий Гроссман,Роман,"Захватывающее произведение Василий Гроссман в жанре роман, рассказывающее о приключениях главных героев.",1843,4.1
Мечта тысячи планет,Уильям Фолкнер,Научная фантастика,Книга 'Мечта тысячи планет' - это глубокое исследование человеческой природы через призму научная фантастика.,1847,3.3
Легенда белого лотоса,Джоан Роулинг,Комедия,"Одно из лучших произведений Джоан Роулинг, ставшее классикой жанра комедия.",1875,3.1
Дневник мгновения,Колсон Уайтхед,Фантастика,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Колсон Уайтхед.,1830,2.1
Земля железного века,Томас Манн,Детектив,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях детектив.",1999,3.9
Мечта полнолуния,Дэн Браун,Психология,"Одно из лучших произведений Дэн Браун, ставшее классикой жанра психология.",2019,3.4
Город семи королевств,Ханья Янагихара,Ужасы,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Ханья Янагихара.,1906,4.7
Замок красной розы,Антон Чехов,Ужасы,"Захватывающее произведение Антон Чехов в жанре ужасы, рассказывающее о приключениях главных героев.",1842,3.9
Слепота,Василий Гроссман,Психология,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Василий Гроссман.,1822,3.1
Хроники железного века,Ханья Янагихара,Научная фантастика,"История о любви, предательстве и искуплении, мастерски рассказанная Ханья Янагихара.",1999,4.8
Мир потерянного времени,Пауло Коэльо,Ужасы,"Захватывающее произведение Пауло Коэльо в жанре ужасы, рассказывающее о приключениях главных героев.",1972,4.7
Тайна потерянного времени,Джеймс Джойс,Психология,Книга 'Тайна потерянного времени' - это глубокое исследование человеческой природы через призму психология.,1925,3.2
Наследие рассвета,Александр Пушкин,Сказка,"История о любви, предательстве и искуплении, мастерски рассказанная Александр Пушкин.",1983,4.7
Война алмазной горы,Харуки Мураками,Психология,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1855,5.0
Процесс,Томас Манн,Фэнтези,Книга 'Процесс' - это глубокое исследование человеческой природы через призму фэнтези.,1963,3.1
Море рубинового леса,Джеймс Джойс,Мистика,"Захватывающее произведение Джеймс Джойс в жанре мистика, рассказывающее о приключениях главных героев.",1859,1.6
Смерть тысячи планет,Стивен Кинг,Мистика,"Одно из лучших произведений Стивен Кинг, ставшее классикой жанра мистика.",2023,4.9
Мечта потерянного времени,Джеймс Джойс,Мистика,"Одно из лучших произведений Джеймс Джойс, ставшее классикой жанра мистика.",1934,3.1
Судьба забытых предков,Донна Тартт,Комедия,"История о любви, предательстве и искуплении, мастерски рассказанная Донна Тартт.",1974,1.6
Осень полнолуния,Виктор Пелевин,История,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Виктор Пелевин.,1998,3.6
Печаль золотого века,Джордж Оруэлл,Драма,"История о любви, предательстве и искуплении, мастерски рассказанная Джордж Оруэлл.",1998,1.3
Гордость,Оскар Уайльд,Поэзия,"Книга, получившая множество литературных премий и признание критиков во всем мире.",2021,4.3
Надежда,Федор Достоевский,Научная литература,"Произведение, в котором Федор Достоевский раскрывает сложные социальные проблемы через увлекательное повествование.",1850,4.8
Солнце черного ворона,Лев Толстой,Боевик,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1939,3.2
Время рассвета,Ханья Янагихара,Роман,Книга 'Время рассвета' - это глубокое исследование человеческой природы через призму роман.,1904,3.3
Сон ста лет,Колсон Уайтхед,Поэзия,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1937,4.2
Имя,Вирджиния Вулф,История,Книга 'Имя' - это глубокое исследование человеческой природы через призму история.,2022,3.7
Хроники золотого века,Марк Твен,Мистика,"Произведение, в котором Марк Твен раскрывает сложные социальные проблемы через увлекательное повествование.",1802,3.1
Дом десяти заповедей,Элис Манро,Боевик,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1930,3.3
Судьба первого снега,Стивен Кинг,Роман,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Стивен Кинг.,1996,3.8
Письма четырех стихий,Джордж Оруэлл,Роман,"Одно из лучших произведений Джордж Оруэлл, ставшее классикой жанра роман.",1956,4.9
Воспоминания двух столиц,Эрнест Хемингуэй,Ужасы,"Произведение, в котором Эрнест Хемингуэй раскрывает сложные социальные проблемы через увлекательное повествование.",2005,3.1
Невыносимость,Кадзуо Исигуро,Ужасы,"Захватывающее произведение Кадзуо Исигуро в жанре ужасы, рассказывающее о приключениях главных героев.",1832,3.3
Исповедь янтарного солнца,Дэн Браун,Триллер,"Захватывающее произведение Дэн Браун в жанре триллер, рассказывающее о приключениях главных героев.",1900,3.2
Звезда черного ворона,Анна Ахматова,Триллер,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях триллер.",1932,3.1
Надежда золотого века,Сергей Есенин,Триллер,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",2002,4.4
Империя последнего дождя,Харуки Мураками,Боевик,"Одно из лучших произведений Харуки Мураками, ставшее классикой жанра боевик.",1922,5.0
Путешествие разбитых надежд,Иван Тургенев,Фантастика,"История о любви, предательстве и искуплении, мастерски рассказанная Иван Тургенев.",1813,4.2
Прозрение,Людмила Улицкая,Комедия,"Захватывающее произведение Людмила Улицкая в жанре комедия, рассказывающее о приключениях главных героев.",1904,3.3
Зима далеких миров,Борис Акунин,Комедия,Книга 'Зима далеких миров' - это глубокое исследование человеческой природы через призму комедия.,1992,4.2
Приключения мгновения,Вирджиния Вулф,Роман,"Одно из лучших произведений Вирджиния Вулф, ставшее классикой жанра роман.",1871,4.3
Замок девяти кругов,Виктор Пелевин,Сказка,"Одно из лучших произведений Виктор Пелевин, ставшее классикой жанра сказка.",2006,4.8
Наследие семи грехов,Томас Манн,Философия,"Захватывающее произведение Томас Манн в жанре философия, рассказывающее о приключениях главных героев.",1890,4.7
Гордость,Федор Достоевский,Роман,"Произведение, в котором Федор Достоевский раскрывает сложные социальные проблемы через увлекательное повествование.",2008,3.5
Луна черного ворона,Венедикт Ерофеев,Философия,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях философия.",1916,1.3
Дневник вечной любви,Борис Пастернак,Ужасы,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Борис Пастернак.,1915,3.4
Проклятие хрустального замка,Евгений Водолазкин,Боевик,Книга 'Проклятие хрустального замка' - это глубокое исследование человеческой природы через призму боевик.,2015,4.6
Исповедь сапфирового моря,Джейн Остин,Драма,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1923,3.6
Королевство железного века,Джеймс Джойс,Научная фантастика,"История о любви, предательстве и искуплении, мастерски рассказанная Джеймс Джойс.",1827,1.2
Шум,Венедикт Ерофеев,Научная литература,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Венедикт Ерофеев.,2013,4.1
Солнце далеких миров,Василий Гроссман,Ужасы,Книга 'Солнце далеких миров' - это глубокое исследование человеческой природы через призму ужасы.,1926,3.7
Жизнь потерянного времени,Михаил Булгаков,Комедия,"Захватывающее произведение Михаил Булгаков в жанре комедия, рассказывающее о приключениях главных героев.",1978,3.9
Королевство прошлых жизней,Владимир Набоков,Сказка,"История о любви, предательстве и искуплении, мастерски рассказанная Владимир Набоков.",1892,4.5
Маятник,Малкольм Гладуэлл,Роман,Книга 'Маятник' - это глубокое исследование человеческой природы через призму роман.,1839,3.2
Мечта заката,Анна Ахматова,Поэзия,"Произведение, в котором Анна Ахматова раскрывает сложные социальные проблемы через увлекательное повествование.",1930,3.2
Хроники жемчужной реки,Николай Гоголь,Детектив,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Николай Гоголь.,1948,4.7
Выбор новолуния,Нил Гейман,Сказка,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Нил Гейман.,1956,3.1
Ненависть равноденствия,Джон Стейнбек,Комедия,"Книга, которая изменила представление о жанре комедия и принесла Джон Стейнбек мировую известность.",1818,3.7
Жизнь тысячи дней,Джордж Мартин,Драма,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Джордж Мартин.,1868,3.8
Мечта золотого века,Юваль Ной Харари,Ужасы,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях ужасы.",1949,4.1
Падение,Сергей Есенин,Поэзия,"Одно из лучших произведений Сергей Есенин, ставшее классикой жанра поэзия.",1836,4.0
Полночь ста лет,Мо Янь,Психология,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1919,4.9
Отчаяние ста лет,Маргарет Этвуд,Боевик,"Книга, которая изменила представление о жанре боевик и принесла Маргарет Этвуд мировую известность.",1871,4.1
Дар пяти элементов,Евгений Водолазкин,Психология,Книга 'Дар пяти элементов' - это глубокое исследование человеческой природы через призму психология.,1961,3.5
Хроники забытых предков,Альбер Камю,Приключения,"Захватывающее произведение Альбер Камю в жанре приключения, рассказывающее о приключениях главных героев.",1968,3.4
Бесы,Борис Акунин,Приключения,"История о любви, предательстве и искуплении, мастерски рассказанная Борис Акунин.",1888,1.2
Бытие,Чимаманда Нгози Адичи,Приключения,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Чимаманда Нгози Адичи.,1889,4.1
Лето полнолуния,Элис Манро,Научная литература,"Книга, получившая множество литературных премий и признание критиков во всем мире.",2006,3.2
Луна изумрудного города,Колсон Уайтхед,Научная фантастика,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Колсон Уайтхед.,1936,5.0
Эхо,Василий Гроссман,Психология,"История о любви, предательстве и искуплении, мастерски рассказанная Василий Гроссман.",2016,3.3
Гора параллельных вселенных,Лев Толстой,Приключения,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1869,4.8
Ненависть новолуния,Донна Тартт,Научная фантастика,Книга 'Ненависть новолуния' - это глубокое исследование человеческой природы через призму научная фантастика.,1858,3.5
Метаморфозы,Иван Тургенев,Приключения,Книга 'Метаморфозы' - это глубокое исследование человеческой природы через призму приключения.,1807,3.4
Сад заката,Иосиф Бродский,Поэзия,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1862,4.4
Мечта рассвета,Уильям Фолкнер,Приключения,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях приключения.",1960,4.4
Солнце янтарного солнца,Джон Стейнбек,Приключения,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях приключения.",1974,3.3
Сад полнолуния,Чарльз Диккенс,Роман,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Чарльз Диккенс.,1940,4.4
Город забытых предков,Эрнест Хемингуэй,Мистика,"История о любви, предательстве и искуплении, мастерски рассказанная Эрнест Хемингуэй.",1967,3.5
Мир белого лотоса,Борис Акунин,Приключения,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1908,4.9
Исповедь пяти элементов,Анна Ахматова,Мистика,"История о любви, предательстве и искуплении, мастерски рассказанная Анна Ахматова.",1840,4.5
Игра,Харуки Мураками,Психология,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1814,2.3
Хроники девяти кругов,Дмитрий Глуховский,Классика,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях классика.",1965,4.3
Надежда прошлых жизней,Александр Солженицын,Детектив,"Книга, которая изменила представление о жанре детектив и принесла Александр Солженицын мировую известность.",1847,1.6
Слепота,Чарльз Диккенс,Фантастика,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях фантастика.",1854,3.8
Прозрение,Дэн Браун,Научная фантастика,"Книга, которая изменила представление о жанре научная фантастика и принесла Дэн Браун мировую известность.",1884,3.6
Мир,Дмитрий Глуховский,Научная фантастика,"Книга, которая изменила представление о жанре научная фантастика и принесла Дмитрий Глуховский мировую известность.",1802,4.9
Радость рубинового леса,Иосиф Бродский,Фэнтези,Книга 'Радость рубинового леса' - это глубокое исследование человеческой природы через призму фэнтези.,1900,5.0
Рассвет рубинового леса,Алексей Иванов,Драма,"Произведение, в котором Алексей Иванов раскрывает сложные социальные проблемы через увлекательное повествование.",1838,3.8
Приключения семи королевств,Дэн Браун,Приключения,"Захватывающее произведение Дэн Браун в жанре приключения, рассказывающее о приключениях главных героев.",1907,3.4
Превращение,Татьяна Толстая,Ужасы,Книга 'Превращение' - это глубокое исследование человеческой природы через призму ужасы.,1838,3.5
Идиот,Гузель Яхина,Боевик,"Одно из лучших произведений Гузель Яхина, ставшее классикой жанра боевик.",1897,3.1
Дневник янтарного солнца,Джек Лондон,Приключения,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Джек Лондон.,1993,4.2
Жизнь первого снега,Сергей Есенин,Фэнтези,"Одно из лучших произведений Сергей Есенин, ставшее классикой жанра фэнтези.",1942,4.7
Наследие изумрудного города,Малкольм Гладуэлл,Поэзия,"Одно из лучших произведений Малкольм Гладуэлл, ставшее классикой жанра поэзия.",1946,4.6
Портрет десяти заповедей,Маргарет Этвуд,Роман,"Книга, которая изменила представление о жанре роман и принесла Маргарет Этвуд мировую известность.",1858,3.8
Хроники пяти элементов,Михаил Булгаков,Классика,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1871,1.0
Маргарита,Альбер Камю,Комедия,Книга 'Маргарита' - это глубокое исследование человеческой природы через призму комедия.,2002,3.8
Закат одинокого сердца,Джонатан Франзен,Боевик,Книга 'Закат одинокого сердца' - это глубокое исследование человеческой природы через призму боевик.,1888,3.9
Тайна сапфирового моря,Федор Достоевский,Фантастика,"История о любви, предательстве и искуплении, мастерски рассказанная Федор Достоевский.",1875,3.8
Рассвет золотого века,Марина Цветаева,Научная фантастика,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях научная фантастика.",1968,4.9
Письма золотого века,Владимир Набоков,Философия,Книга 'Письма золотого века' - это глубокое исследование человеческой природы через призму философия.,1814,4.0
Отчаяние,Маргарет Этвуд,Психология,"История о любви, предательстве и искуплении, мастерски рассказанная Маргарет Этвуд.",1947,3.7
Луна железного века,Татьяна Толстая,Философия,"История о любви, предательстве и искуплении, мастерски рассказанная Татьяна Толстая.",1955,3.6
Сад семи грехов,Кадзуо Исигуро,Роман,Книга 'Сад семи грехов' - это глубокое исследование человеческой природы через призму роман.,1818,4.3
Наследие сапфирового моря,Захар Прилепин,Мистика,"Одно из лучших произведений Захар Прилепин, ставшее классикой жанра мистика.",1801,3.2
Сказание хрустального замка,Стивен Кинг,Детектив,"Одно из лучших произведений Стивен Кинг, ставшее классикой жанра детектив.",1958,4.3
Портрет двух столиц,Джон Стейнбек,Ужасы,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Джон Стейнбек.,1978,4.3
